platform,hashtag,count,pct_in_platform
Twitter iPad,trump,85,3.225806451612903
Twitter iPad,china,18,0.683111954459203
Twitter iPad,usa,27,1.0246679316888045
Twitter iPad,lockdown,22,0.8349146110056925
Twitter iPad,vaccine,17,0.6451612903225806
Twitter iPad,coronavirusupdate,7,0.2656546489563567
Twitter iPad,wearamask,14,0.5313092979127134
Twitter iPad,covid,24,0.9108159392789373
Twitter iPad,staysafe,4,0.15180265654648956
Twitter iPad,india,8,0.3036053130929791
Twitter iPad,corona,5,0.18975332068311196
Twitter iPad,coronavirusupdates,5,0.18975332068311196
Twitter iPad,breaking,2,0.07590132827324478
Buffer,covid19,1332,94.0677966101695
Buffer,coronavirus,117,8.26271186440678
Buffer,pandemic,57,4.025423728813559
Buffer,usa,3,0.211864406779661
Buffer,lockdown,14,0.9887005649717515
Buffer,india,14,0.9887005649717515
Buffer,corona,5,0.3531073446327684
Buffer,staysafe,10,0.7062146892655368
Buffer,china,13,0.9180790960451978
Buffer,covid,6,0.423728813559322
Buffer,vaccine,13,0.9180790960451978
Buffer,breaking,1,0.07062146892655367
Buffer,wearamask,7,0.49435028248587576
Buffer,trump,6,0.423728813559322
Buffer,covid_19,1,0.07062146892655367
Buffer,coronaviruspandemic,1,0.07062146892655367
Buffer,indiafightscorona,1,0.07062146892655367
