week,tag,pct
2020-07-20,covid19,94.13820919602044
2020-07-20,coronavirusupdates,0.6923904275342835
2020-07-20,coronavirus,10.621134713632697
2020-07-20,blood,0.3428340951868782
2020-07-20,indiafightscorona,0.6923904275342835
2020-07-20,trumpvirus,0.3159451465447701
2020-07-20,covidー19,0.6184458187684861
2020-07-20,covidiots,0.26888948642108096
2020-07-20,covid,1.2436138746974994
2020-07-20,mask,0.4772788383974187
2020-07-20,masks,0.6184458187684861
2020-07-20,stayhome,0.4638343640763646
2020-07-20,coronavirusupdate,0.8335574079053508
2020-07-20,coronaviruspandemic,1.0217800484001076
2020-07-20,wearamask,0.6856681903737564
2020-07-20,news,0.2554450121000269
2020-07-20,trump,0.9343909653132563
2020-07-20,socialdistancing,0.5041677870395268
2020-07-20,pandemic,1.5528367840817423
2020-07-20,quarantine,0.32938962086582413
2020-07-20,us,0.5041677870395268
2020-07-20,healthcare,0.2621672492605539
2020-07-20,india,1.3713363807475127
2020-07-20,covid_19,1.2637805861790803
2020-07-20,vaccine,0.32266738370529713
2020-07-20,uk,0.3361118580263512
2020-07-20,health,0.4907233127184727
2020-07-20,usa,0.5176122613605808
2020-07-20,odisha,0.7663350363000807
2020-07-20,lockdown,1.136058080129067
2020-07-20,russia,0.12100026888948642
2020-07-20,florida,0.42350094111320247
2020-07-20,corona,1.485614412476472
2020-07-20,sarscov2,0.32266738370529713
2020-07-20,staysafe,0.5915568701263781
2020-07-20,china,0.4907233127184727
2020-07-20,breaking,0.4638343640763646
2020-07-20,coronainfoch,0.7260016133369185
2020-07-20,hydroxychloroquine,0.10083355740790535
2020-07-20,auspol,0.17477816617370262
2020-07-27,covid19,94.81976605395083
2020-07-27,breaking,0.381952733349248
2020-07-27,indiafightscorona,0.501312962520888
2020-07-27,staysafe,0.43765417362934667
2020-07-27,coronavirus,9.19073764621628
2020-07-27,blood,0.25463515556616534
2020-07-27,auspol,0.15118962361741067
2020-07-27,covidー19,0.4137821277950187
2020-07-27,pandemic,1.6312564653457466
2020-07-27,us,0.4018461048778547
2020-07-27,socialdistancing,0.4774409166865601
2020-07-27,sarscov2,0.274528527094772
2020-07-27,mask,0.4694835680751174
2020-07-27,quarantine,0.3182939444577067
2020-07-27,news,0.21484841250895204
